# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
2300 9200 130.632 -35.4542 -553.39 389 -942.391 -942.391
2325 9300 128.232 -26.8926 -558.008 381.852 -939.86 -939.86
2350 9400 132.16 -60.8544 -556.351 393.55 -949.901 -949.901
2375 9500 131.24 -84.6395 -565.302 390.811 -956.112 -956.112
2400 9600 127.177 -92.0905 -579.061 378.713 -957.773 -957.773
2425 9700 128.172 -92.4404 -578.596 381.675 -960.271 -960.271
2450 9800 129.287 -51.6515 -567.461 384.995 -952.456 -952.456
2475 9900 133.65 -41.8404 -554.045 397.987 -952.032 -952.032
2500 10000 133.361 -61.0505 -558.516 397.127 -955.643 -955.643
2525 10100 125.974 -70.4008 -579.324 375.128 -954.452 -954.452
2550 10200 126.009 -72.8876 -580.512 375.233 -955.744 -955.744
2575 10300 133.276 -65.4915 -561.162 396.873 -958.035 -958.035
2600 10400 135.561 -73.374 -558.833 403.678 -962.511 -962.511
2625 10500 126.939 -77.7532 -583.308 378.002 -961.31 -961.31
2650 10600 122.402 -57.4235 -591.188 364.493 -955.681 -955.681
2675 10700 130.927 -24.6084 -561.57 389.879 -951.449 -951.449
2700 10800 139.143 -13.903 -538.363 414.345 -952.708 -952.708
2725 10900 129.456 -0.764574 -560.16 385.498 -945.658 -945.658
2750 11000 127.166 -65.937 -582.077 378.679 -960.757 -960.757
2775 11100 127.003 -88.4057 -587.621 378.194 -965.814 -965.814
2800 11200 128.176 -52.2503 -576.802 381.688 -958.489 -958.489
2825 11300 134.308 -33.504 -558.884 399.946 -958.83 -958.83
2850 11400 131.771 -16.1981 -561.427 392.392 -953.819 -953.819
2875 11500 128.837 -48.3432 -575.218 383.654 -958.873 -958.873
2900 11600 127.374 -65.5242 -581.289 379.298 -960.588 -960.588
2925 11700 130.291 -70.5239 -575.429 387.983 -963.413 -963.413
2950 11800 130.32 -38.8937 -568.815 388.07 -956.885 -956.885
2975 11900 131.328 -33.0715 -565.756 391.074 -956.83 -956.83
3000 12000 129.82 -31.0636 -569.612 386.583 -956.195 -956.195
3025 12100 130.234 -53.8497 -573.119 387.816 -960.935 -960.935
3050 12200 129.344 -67.9614 -576.756 385.165 -961.921 -961.921
3075 12300 127.353 -51.4198 -575.845 379.235 -955.08 -955.08
3100 12400 133.954 -81.1589 -565.923 398.892 -964.815 -964.815
3125 12500 131.058 -78.1079 -572.846 390.27 -963.116 -963.116
3150 12600 124.28 -50.67 -584.328 370.084 -954.412 -954.412
3175 12700 129.44 -48.0112 -570.656 385.449 -956.105 -956.105
3200 12800 137.135 -67.7625 -556.278 408.365 -964.643 -964.643
